h_num,s_num,agent_id,photo,room_num,area,price,status,orientation
18,1037,34255,https://img.0756fang.com/Upload/Fang/2022-11/221105142020B42F011E96A64B95B219.jpg/240X180,2房2厅1卫,79.65 ㎡,200万,0,东北
19,1037,11849,https://img.0756fang.com/Upload/Fang/2022-06/220612175938BE57A62BD6CF4C1F8F8D.jpg/240X180,3房2厅1卫,91 ㎡,220万,0,北
20,1037,55243,https://img.0756fang.com/Upload/Fang/2021-11/s74C615D830D141C8BF5C462259481189.jpeg/240X180,3房2厅2卫,107.7 ㎡,239万,0,西南
21,1037,45037,https://img.0756fang.com/Upload/Fang/2021-09/210919145239A997239E5A4E4E949C01.jpg/240X180,3房2厅2卫,106 ㎡,270万,0,东北
22,1037,33177,https://img.0756fang.com/Upload/Fang/2022-03/s4B283CC356A343158AB8823E83714C5D.jpg/240X180,2房2厅1卫,68 ㎡,170万,0,东南
23,1037,21230,https://img.0756fang.com/Upload/Fang/2021-08/210808154011E93E189AAEB14B468FC9.jpg/240X180,3房2厅2卫,104.63 ㎡,254万,0,南北通
24,1037,21151,https://img.0756fang.com/Upload/Fang/2021-08/210808153858C4223E1ED82C45AC8107.jpg/240X180,3房2厅2卫,104.6 ㎡,254万,0,东
25,1037,3001,https://img.0756fang.com/Upload/Fang/2022-07/sFC2892A340EE48AC978F749ECC41D5F0.jpeg/240X180,2房1厅1卫,48.82 ㎡,125万,0,西南
26,1037,11664,https://img.0756fang.com/Upload/Fang/2022-04/s01AE119C9069427CAAD407C455B25853.jpeg/240X180,3房2厅2卫,103 ㎡,230万,0,东南
27,1037,33341,https://img.0756fang.com/Upload/Fang/2022-08/s923FB44537234F5587E9AAF754CA2F19.jpeg/240X180,2房1厅1卫,20.65 ㎡,67万,0,东
28,1037,37692,https://img.0756fang.com/Upload/Fang/2022-06/220604110218A2040B69DC2D4B319FA5.jpg/240X180,2房2厅1卫,80 ㎡,220万,0,北
29,1037,53112,https://img.0756fang.com/Upload/Fang/2022-03/s28D633EC3ADB4D24BC2DB328867B053E.jpeg/240X180,2房2厅1卫,83.62 ㎡,205万,0,东北
30,1037,20246,https://img.0756fang.com/Upload/Fang/2021-10/s804714CC84B1436392D374BF2573A7DC.jpeg/240X180,5房3厅2卫,175 ㎡,326万,0,南
31,1037,29415,https://img.0756fang.com/Upload/Fang/2021-03/210314122450786CFAFD4D164919AEFE.jpg/240X180,3房2厅2卫,105 ㎡,250万,0,东南
32,1037,44115,https://img.0756fang.com/Upload/Fang/2022-06/s78A307DAE2FD4E439EE8F6A7DFDE4A3C.jpeg/240X180,5房2厅4卫,186 ㎡,478万,0,西
33,1037,47959,https://img.0756fang.com/Upload/Fang/2021-02/210208162731B55247D9EE094B498C28.jpg/240X180,4房2厅2卫,146 ㎡,380万,0,东北
34,1037,39217,https://img.0756fang.com/Upload/Fang/2020-08/sF8DE3B032C974F53B4894CD6D7CBD7F8.jpg/240X180,3房2厅1卫,96.43 ㎡,230万,0,东
35,1037,20524,https://img.0756fang.com/Upload/Fang/2021-12/s464D196FF2844528B0755BF1166A5275.jpg/240X180,3房2厅2卫,102.01 ㎡,217万,0,西南
36,1037,53897,https://img.0756fang.com/Upload/Fang/2023-03/sBC0BFF9F4A7541C2B0B23E9E85E83550.jpeg/240X180,2房2厅1卫,80 ㎡,218万,0,西
37,1037,8359,https://img.0756fang.com/Upload/Fang/2023-03/230311140136896924C05B4841A58463.jpg/240X180,2房2厅1卫,80 ㎡,213万,0,西南
38,1037,49868,https://img.0756fang.com/Upload/Fang/2023-03/2303061232116E578A0D872C44089CA7.jpg/240X180,2房2厅1卫,83.62 ㎡,210万,0,南北通
39,1037,47076,https://img.0756fang.com/Upload/Fang/2022-10/221003113003D0DE9B28341E49399F3A.jpg/240X180,3房2厅2卫,104.64 ㎡,225万,0,东北
40,1037,50273,https://img.0756fang.com/Upload/Fang/2021-07/2107171426554758459D7F4E494BB49D.jpg/240X180,3房2厅2卫,122.34 ㎡,285万,0,南
41,1037,6126,https://img.0756fang.com/Upload/Fang/2021-09/2109101043076F1096F2E42746088C8B.jpg/240X180,2房1厅1卫,49 ㎡,129万,0,东
42,1037,31185,https://img.0756fang.com/Upload/Fang/2023-02/s2B19D0A2CFD34CAA90ACCC66AA9D55E2.jpeg/240X180,4房2厅2卫,148 ㎡,350万,0,西南
43,1037,13899,https://img.0756fang.com/Upload/Fang/2022-09/2209270903142C87D681E71646E7BEF7.jpg/240X180,2房2厅1卫,79.86 ㎡,190万,0,东北
44,1037,45266,https://img.0756fang.com/Upload/Fang/2022-04/220428112256989F87EC4B5842118AFB.jpg/240X180,2房2厅1卫,68.5 ㎡,160万,0,南
45,1037,3650,https://img.0756fang.com/Upload/Fang/2022-09/22093016520523D7681EB0BB4034A194.jpg/240X180,1房1厅1卫,40 ㎡,95万,0,南
46,1037,29476,https://img.0756fang.com/Upload/Fang/2021-11/s1F405BAACB8C4C319CBE0E64A1C80C46.jpeg/240X180,3房2厅2卫,105.89 ㎡,235万,0,西南
47,1037,14285,https://img.0756fang.com/Upload/Fang/2022-04/s3B7CAA5DE92B4B6B9B7CD0EFBF208765.jpeg/240X180,4房2厅2卫,179.66 ㎡,405万,0,南北通
48,1037,28331,https://img.0756fang.com/Upload/Fang/2022-07/220723142524FC9B6DFC1EF547BCBCD9.jpg/240X180,2房1厅1卫,48.82 ㎡,130万,0,西南
49,1037,17316,https://img.0756fang.com/Upload/Fang/2022-08/s63496D4A48DD44AD8CE7239B6850C526.jpeg/240X180,4房2厅2卫,80 ㎡,198万,0,西
50,1037,36476,https://img.0756fang.com/Upload/Fang/2023-02/23021714224569A59E333635453C9FB6.jpg/240X180,4房3厅2卫,95.95 ㎡,260万,0,东北
51,1037,38857,https://img.0756fang.com/Upload/Fang/2020-12/201211114155641E09B085F44499AC60.jpg/240X180,2房2厅1卫,68.45 ㎡,185万,0,东北
52,1037,47167,https://img.0756fang.com/Upload/Fang/2021-05/2105011349096EAAE9552C51492DB88C.jpg/240X180,1房1厅1卫,48.82 ㎡,115万,0,南北通
53,1037,57053,https://img.0756fang.com/Upload/Fang/2021-03/210316142225F9CAECE23B954B748E8C.jpg/240X180,3房2厅2卫,103 ㎡,240万,0,北
54,1037,30157,https://img.0756fang.com/Upload/Fang/2019-12/19122309043047FA69D31C4B43F896A9.jpg/240X180,3房2厅2卫,125.82 ㎡,318万,0,西南
55,1037,11341,https://img.0756fang.com/Upload/Fang/2021-03/210302210515688648D26A104F479109.jpg/240X180,3房2厅2卫,103.33 ㎡,232万,0,北
56,1037,38094,https://img.0756fang.com/Upload/Fang/2021-10/211002103909A52FAE4712BF417EA254.jpg/240X180,4房2厅2卫,146.02 ㎡,409万,0,南
57,1037,40761,https://img.0756fang.com/Upload/Fang/2020-09/2009211405411783001D26FF4C609FAE.jpg/240X180,7房2厅2卫,255.92 ㎡,450万,0,东
58,1037,33839,https://img.0756fang.com/Upload/Fang/2022-03/22032521484476C6D3E955064319A8E2.jpg/240X180,3房2厅2卫,106 ㎡,250万,0,东南
59,1037,17495,https://img.0756fang.com/Upload/Fang/2020-12/20121114503502C5D5FC713A40E788D8.jpg/240X180,4房2厅2卫,146.02 ㎡,340万,0,南北通
60,1037,18295,https://img.0756fang.com/Upload/Fang/2023-03/23031212272988280DFB4EDA4BA8B5F4.jpg/240X180,3房2厅2卫,105.07 ㎡,220万,0,西南
61,1037,54267,https://img.0756fang.com/Upload/Fang/2016-08/160808103131CB6CB1DA04854F4094B2.jpg/240X180,2房2厅1卫,71.5 ㎡,162万,0,东南
62,1037,39749,https://img.0756fang.com/Upload/Fang/2011-12/110316120443644818225CC6B45EBFBD.jpg/240X180,2房2厅1卫,79.31 ㎡,200万,0,北
63,1037,46382,https://img.0756fang.com/Upload/Fang/2018-03/c696a239-94a8-49a3-93e5-1251fea16093.jpg/240X180,5房2厅3卫,192 ㎡,370万,0,东北
64,1037,21643,https://img.0756fang.com/Upload/Fang/2016-06/160606111635BBB24938DFDE4DF384A2.jpg/240X180,3房2厅2卫,106 ㎡,233万,0,西南
65,1037,53136,https://img.0756fang.com/Upload/Fang/2020-08/20083010330630D27BB9ECFE4D1ABAC2.jpg/240X180,4房2厅2卫,151.06 ㎡,335万,0,东
66,1037,55791,https://img.0756fang.com/Upload/Fang/2022-10/2210311501040640B975D4FE47FCB10F.jpg/240X180,2房1厅1卫,68.45 ㎡,152万,0,西南
67,1037,25751,https://img.0756fang.com/Upload/Fang/2021-09/210929182557453E17C96AF14F988DC8.jpg/240X180,2房2厅1卫,78 ㎡,155万,0,东
68,1037,20358,https://img.0756fang.com/Upload/Fang/2018-06/f11957bf-9e3d-409d-bfd8-bb18efdf740f.jpg/240X180,2房2厅1卫,80 ㎡,214万,0,北
69,1037,19773,https://img.0756fang.com/Upload/Fang/2021-05/210528164111D6A3E59F46B945C09472.jpg/240X180,2房2厅1卫,68.54 ㎡,156万,0,东
70,1037,10524,https://img.0756fang.com/Upload/Fang/2022-03/s1EA133D6E9014EDD8F8C1CA11603AFC8.jpeg/240X180,5房2厅3卫,192.44 ㎡,380万,0,南北通
71,1037,45774,https://img.0756fang.com/Upload/Fang/2023-02/230211174249BF4958C2AD41459A933A.jpg/240X180,3房2厅2卫,100.34 ㎡,241万,0,西南
72,1037,55252,https://img.0756fang.com/Upload/Fang/2014-03/140315204839F1321173BFCB5C5E27EF.jpg/240X180,3房2厅2卫,106 ㎡,250万,0,东
73,1037,59635,https://img.0756fang.com/Upload/Fang/2022-03/2203221046593FF937DC031140709839.jpg/240X180,2房2厅1卫,68.45 ㎡,182万,0,西南
74,1037,22373,https://img.0756fang.com/Upload/Fang/2022-09/s5E19EA7A553841C2B106E19FA54B7B49.jpg/240X180,2房2厅1卫,80.24 ㎡,220万,0,北
0,1361,43574,https://img.0756fang.com/Upload/Fang/2021-03/s77A37D3333524CA381E94E982A65B2E8.jpg/240X180,1房0厅1卫,38.89 ㎡,105万,0,南
1,1361,3415,https://img.0756fang.com/Upload/Fang/2022-03/s9726280D0B4341389A36F6F01CBEC133.jpg/240X180,4房2厅2卫,151.91 ㎡,450万,0,东北
2,1361,53734,https://img.0756fang.com/Upload/Fang/2022-04/220420144454EB6B1359571E473F972F.jpg/240X180,1房1厅1卫,34.11 ㎡,95万,0,西
3,1361,46321,https://img.0756fang.com/Upload/Fang/2021-12/2112291058292FEF075CBB354F61B46F.jpg/240X180,1房0厅1卫,38.83 ㎡,108万,0,东北
4,1361,27829,https://img.0756fang.com/Upload/Fang/2021-11/211124104024CDE9CFE04C5B452B854E.jpg/240X180,1房0厅1卫,38.92 ㎡,98万,0,南
5,1361,52751,https://img.0756fang.com/Upload/Fang/2021-03/210316124727BE0279A88F8D4BD7A4D4.jpg/240X180,2房2厅2卫,78.01 ㎡,225万,0,南北通
6,1361,42459,https://img.0756fang.com/Upload/Fang/2021-09/2109091515203D50E75D202A46528C2C.jpg/240X180,3房2厅2卫,136.8 ㎡,388万,0,东北
7,1361,16785,https://img.0756fang.com/Upload/Fang/2020-10/2010071800214B86AD00965C42AB824E.jpg/240X180,2房2厅1卫,95.18 ㎡,275万,0,南北通
8,1361,5963,https://img.0756fang.com/Upload/Fang/2022-12/221217171602D902A231B99344768C56.jpg/240X180,2房2厅1卫,78.95 ㎡,230万,0,东
9,1361,36906,https://img.0756fang.com/Upload/Fang/2021-07/2107030751433DD382B4D97745C5810C.jpg/240X180,4房2厅2卫,149.69 ㎡,390万,0,东
10,1361,23686,https://img.0756fang.com/Upload/Fang/2022-04/s34F78C21905C490FB6DA3957ED3AD6A2.jpeg/240X180,3房2厅2卫,129.9 ㎡,340万,0,东
11,1361,3646,https://img.0756fang.com/Upload/Fang/2022-09/2209211913369DBEB774288547F9AB76.jpg/240X180,3房2厅2卫,135 ㎡,355万,0,北
12,1361,19351,https://img.0756fang.com/Upload/Fang/2022-01/2201131716090B2AA2DBDDD04B848029.jpg/240X180,1房1厅1卫,38.75 ㎡,120万,0,南
13,1361,39122,https://img.0756fang.com/Upload/Fang/2022-11/22111513384006E77F1740C04CBDB41F.jpg/240X180,3房2厅2卫,131.9 ㎡,370万,0,西南
14,1361,193,https://img.0756fang.com/Upload/Fang/2021-12/211203134416B5C9F82DC1AB415D90B5.jpg/240X180,1房0厅1卫,89 ㎡,230万,0,东
15,1361,21329,https://img.0756fang.com/Upload/Fang/2021-12/211221153213EC62094A74F842969984.jpg/240X180,1房1厅1卫,49.71 ㎡,136万,0,北
16,1361,39863,https://img.0756fang.com/Upload/Fang/2021-10/211025180539E4559E42B35B4FFBAB99.jpg/240X180,1房1厅1卫,39 ㎡,110万,0,东北
17,1361,49157,https://img.0756fang.com/Upload/Fang/2020-09/200905132803480ADC429822412DA547.jpg/240X180,1房1厅1卫,49.71 ㎡,142万,0,南
18,1361,37660,https://img.0756fang.com/Upload/Fang/2022-07/220715111941261A6DA6900345969570.jpg/240X180,2房2厅1卫,95 ㎡,280万,0,南北通
19,1361,24766,https://img.0756fang.com/Upload/Fang/2022-09/22090516060334C6DAA8505345F79624.jpg/240X180,1房2厅1卫,82.04 ㎡,200万,0,南北通
20,1361,20605,https://img.0756fang.com/Upload/Fang/2021-06/sC4505D96C7234CC09A7E47E128164520.jpg/240X180,2房2厅1卫,82.04 ㎡,205万,0,东北
21,1361,35373,https://img.0756fang.com/Upload/Fang/2022-03/22032211162772C4A324F8F04326B88A.jpg/240X180,1房1厅1卫,41.08 ㎡,105万,0,北
22,1361,43406,https://img.0756fang.com/Upload/Fang/2021-10/211003104851FDB0ECCAED7C472AB7AC.jpg/240X180,2房1厅1卫,95 ㎡,285万,0,西南
23,1361,20869,https://img.0756fang.com/Upload/Fang/2020-10/201024100017463E595B44384EC3ABBF.jpg/240X180,1房1厅1卫,50 ㎡,150万,0,西南
24,1361,20004,https://img.0756fang.com/Upload/Fang/2021-12/211230105143408E270E72D0450E9386.jpg/240X180,1房1厅1卫,50 ㎡,125万,0,南
25,1361,16966,https://img.0756fang.com/Upload/Fang/2020-09/2009122114137F3D6FE522034741ACA6.jpg/240X180,2房2厅1卫,81 ㎡,240万,0,西
26,1361,17701,https://img.0756fang.com/Upload/Fang/2021-11/211123095722FC7C24AD04184E888538.jpg/240X180,2房1厅1卫,46 ㎡,140万,0,南
27,1361,9688,https://img.0756fang.com/Upload/Fang/2021-03/210316103743756769ECB6B14693B902.jpg/240X180,2房2厅1卫,95.8 ㎡,285万,0,东
28,1361,59215,https://img.0756fang.com/Upload/Fang/2023-03/230311105859ACECA52660C04084AC78.jpg/240X180,1房0厅0卫,40.22 ㎡,150万,0,西南
29,1361,30587,https://img.0756fang.com/Upload/Fang/2023-03/230310161559EB0301D5E5D2456D986B.jpg/240X180,4房2厅2卫,153 ㎡,450万,0,西
30,1361,29966,https://img.0756fang.com/Upload/Fang/2022-07/s2685BD5706DF4C2AB5CEA6772001F820.jpg/240X180,3房2厅2卫,120 ㎡,350万,0,南
31,1361,13568,https://img.0756fang.com/Upload/Fang/2022-03/220310103034B27A5FDD64C34B9694BA.jpg/240X180,2房2厅2卫,95 ㎡,278万,0,西南
32,1361,57459,https://img.0756fang.com/Upload/Fang/2022-08/220803173000365C867A2C4345DD8684.jpg/240X180,1房0厅1卫,40 ㎡,102万,0,东南
33,1361,21525,https://img.0756fang.com/Upload/Fang/2022-05/220524141315ECD4207BB5E04D9E8DCC.jpg/240X180,1房1厅1卫,41.08 ㎡,118万,0,东
34,1361,9748,https://img.0756fang.com/Upload/Fang/2022-01/220123162708A1C954DF2CFA48E2B317.jpg/240X180,4房2厅2卫,167 ㎡,479万,0,东北
35,1361,4495,https://img.0756fang.com/Upload/Fang/2022-12/221211114532D9FBA2BE4CAC464CA1DE.jpg/240X180,3房2厅2卫,129.64 ㎡,320万,0,东南
36,1361,8023,https://img.0756fang.com/Upload/Fang/2022-07/220727183236FFCEB4EDFFE5460E8B86.jpg/240X180,1房0厅1卫,39 ㎡,105万,0,南北通
37,1361,30571,https://img.0756fang.com/Upload/Fang/2021-11/211120171947E3EF0C29496F4FB3BB19.jpg/240X180,3房2厅2卫,121.64 ㎡,312万,0,东
38,1361,37091,https://img.0756fang.com/Upload/Fang/2021-07/210722193258BA62C3682AED48689345.jpg/240X180,4房2厅2卫,152 ㎡,410万,0,东北
39,1361,7562,https://img.0756fang.com/Upload/Fang/2022-11/2211131749042916D57B854840C99686.jpg/240X180,1房1厅1卫,49.74 ㎡,143万,0,西南
40,1361,9311,https://img.0756fang.com/Upload/Fang/2022-08/220806132438666E8FA86DE8451D9172.jpg/240X180,3房2厅2卫,132 ㎡,375万,0,东北
41,1361,27559,https://img.0756fang.com/Upload/Fang/2021-08/s504A17AD7DD24184852274BDB218D060.jpg/240X180,4房2厅2卫,148.8 ㎡,360万,0,北
42,1361,34806,https://img.0756fang.com/Upload/Fang/2021-11/s642904D9FE1C487DA537B6E5AEEB6464.jpg/240X180,2房2厅1卫,89.16 ㎡,235万,0,东南
43,1361,525,https://img.0756fang.com/Upload/Fang/2020-06/20062616444549733FB292C74B73A2F1.jpg/240X180,1房1厅1卫,38.83 ㎡,100万,0,南北通
44,1361,54975,https://img.0756fang.com/Upload/Fang/2021-07/s3F6B4DD6A2084384B28CE8F4C554D12B.jpg/240X180,1房0厅1卫,39 ㎡,108万,0,南北通
45,1361,20630,https://img.0756fang.com/Upload/Fang/2020-06/sD1AADB87C1F14BFDBB35CD056B2E90B6.jpg/240X180,3房2厅2卫,121.3 ㎡,345万,0,西
46,1361,9354,https://img.0756fang.com/Upload/Fang/2020-08/sEA747B95C9524F6693F137FB8C47C32E.jpg/240X180,3房2厅1卫,126 ㎡,370万,0,南
47,1361,1731,https://img.0756fang.com/Upload/Fang/2020-09/sD79768700A42410D8E06BACF1BF5D544.jpg/240X180,1房0厅1卫,41 ㎡,110万,0,西
48,1361,4274,https://img.0756fang.com/Upload/Fang/2022-09/s32883C66C7C94F29906EEAF99A270266.jpg/240X180,1房0厅1卫,32.63 ㎡,80万,0,南
49,1361,26445,https://img.0756fang.com/Upload/Fang/2022-12/221208165727037F73013D3343F48CC8.jpg/240X180,2房2厅1卫,60.19 ㎡,180万,0,东
50,1361,42604,https://img.0756fang.com/Upload/Fang/2020-03/sE6E163DCD00C4F29BA169D29825FDCB9.jpg/240X180,1房0厅1卫,39 ㎡,110万,0,南北通
51,1361,8051,https://img.0756fang.com/Upload/Fang/2022-08/22081716074868B554DF32B64461B773.jpg/240X180,2房2厅1卫,82 ㎡,186万,0,东
52,1361,35262,https://img.0756fang.com/Upload/Fang/2020-10/2010252040148AA938BB410149C6A0A5.jpg/240X180,3房2厅2卫,121 ㎡,315万,0,南北通
53,1361,19202,https://img.0756fang.com/Upload/Fang/2018-07/992cef36-b58d-4df3-b785-caf1f7c3a7eb.jpg/240X180,3房2厅2卫,136 ㎡,408万,0,西南
54,1361,54532,https://img.0756fang.com/Upload/Fang/2020-09/200902181422812E7E44F84A4019AC61.jpg/240X180,1房0厅1卫,38.8 ㎡,105万,0,西南
55,1361,44028,https://img.0756fang.com/Upload/Fang/2021-07/210730103902A436E7489EE74A07AC14.jpg/240X180,1房1厅1卫,41 ㎡,110万,0,西南
56,1361,44572,https://img.0756fang.com/Upload/Fang/2022-07/220707112257EC54F488A98245959D9B.jpg/240X180,4房2厅2卫,156 ㎡,450万,0,东
57,1361,1480,https://img.0756fang.com/Upload/Fang/2015-09/150906170156957CA63E1CE85F427BED.jpg/240X180,1房1厅1卫,41 ㎡,120万,0,南北通
58,1361,6671,https://img.0756fang.com/Upload/Fang/2021-12/2112161818259CAD5495FF7F49039CD3.jpg/240X180,3房2厅2卫,132 ㎡,368万,0,南北通
59,1361,11277,https://img.0756fang.com/Upload/Fang/2019-12/19120514574929B1529EB81C406B9AD6.jpg/240X180,2房2厅1卫,95.18 ㎡,258万,0,南北通
60,1361,4540,https://img.0756fang.com/Upload/Fang/2021-08/sF68FD64278BD408890B345A1DFFB6BA5.jpg/240X180,3房2厅2卫,135.96 ㎡,380万,0,西
61,1361,39616,https://img.0756fang.com/Upload/Fang/2022-11/s1E05C526DB814379B1671D6272AFE58A.jpg/240X180,3房2厅2卫,128 ㎡,350万,0,东南
62,1361,46860,https://img.0756fang.com/Upload/Fang/2021-09/sAB9F68C267684ADD92FD30C8415C1E3E.jpg/240X180,4房2厅2卫,191.87 ㎡,520万,0,东南
63,1361,34393,https://img.0756fang.com/Upload/Fang/2022-01/220110183547A997A4F5009C498EB15A.jpg/240X180,3房2厅2卫,104.41 ㎡,278万,0,南北通
64,1361,43323,https://img.0756fang.com/Upload/Fang/2023-03/sE2C5FC99AE544093B2EB7DC44F672A1E.jpg/240X180,2房2厅1卫,95.18 ㎡,285万,0,南北通
65,1361,23116,https://img.0756fang.com/Upload/Fang/2021-08/sD52BA94E14FA4EB09C0FE82C28BF0E85.jpg/240X180,3房2厅2卫,136.5 ㎡,410万,0,北
66,1361,34664,https://img.0756fang.com/Upload/Fang/2021-11/2111181808464BE1BF65654649C89735.jpg/240X180,1房1厅1卫,50 ㎡,135万,0,东南
67,1361,17916,https://img.0756fang.com/Upload/Fang/2021-02/s7E37C698F35F4C3998521A49A9F54AFA.jpg/240X180,3房2厅2卫,121 ㎡,365万,0,东北
0,324,41151,https://img.0756fang.com/Upload/Fang/2021-12/2112071044580DE627A7B8AA453E8584.jpg/240X180,3房2厅2卫,105.61 ㎡,355万,0,东北
1,324,13943,https://img.0756fang.com/Upload/Fang/2021-11/2111301500185B8D105606554DF4A737.jpg/240X180,5房2厅3卫,190 ㎡,490万,0,西南
2,324,51370,https://img.0756fang.com/Upload/Fang/2021-06/21062016521887C0F74FD7084C268BBB.jpg/240X180,3房2厅2卫,111.29 ㎡,280万,0,南
3,324,40623,https://img.0756fang.com/Upload/Fang/2021-03/210314140610A2F877FC87D349D89B00.jpg/240X180,2房2厅1卫,78 ㎡,240万,0,西
4,324,38575,https://img.0756fang.com/Upload/Fang/2021-10/2110071535546B0237E091954E00B382.jpg/240X180,3房2厅2卫,120.66 ㎡,325万,0,东北
5,324,6665,https://img.0756fang.com/Upload/Fang/2022-09/22092517323682BED27503E2429C8E85.jpg/240X180,4房2厅2卫,120.66 ㎡,345万,0,西
6,324,52508,https://img.0756fang.com/Upload/Fang/2021-12/2112231049065E75FCEDDE1D4788A145.jpg/240X180,3房2厅2卫,120.66 ㎡,308万,0,北
7,324,43569,https://img.0756fang.com/Upload/Fang/2021-07/210730094405316AA4C345CF4D1B8F26.jpg/240X180,3房2厅2卫,119.72 ㎡,335万,0,西
8,324,54368,https://img.0756fang.com/Upload/Fang/2022-06/2206221454399F647F6E2CF34489AF60.jpg/240X180,4房2厅2卫,154.33 ㎡,398万,0,南北通
9,324,4823,https://img.0756fang.com/Upload/Fang/2021-12/2112181937434707A729C4BF45228FAD.jpg/240X180,8房3厅4卫,236 ㎡,540万,0,南
10,324,42957,https://img.0756fang.com/Upload/Fang/2023-03/s6E799D7865A648A993E9CACB4A54AA2A.jpg/240X180,4房2厅2卫,142 ㎡,360万,0,西南
11,324,21126,https://img.0756fang.com/Upload/Fang/2021-12/21121612084946BE25EDD8164184B74B.jpg/240X180,3房2厅1卫,113.75 ㎡,315万,0,南
12,324,42535,https://img.0756fang.com/Upload/Fang/2021-02/210224123634C9F3B4C495774B228367.jpg/240X180,2房2厅1卫,82.03 ㎡,246万,0,南
13,324,51108,https://img.0756fang.com/Upload/Fang/2020-08/200824093328AFD6C66E7D8048FD88DB.jpg/240X180,3房2厅1卫,109.25 ㎡,316万,0,西
14,324,27324,https://img.0756fang.com/Upload/Fang/2021-08/2108131431141C4C2D7201DE44839124.jpg/240X180,4房2厅2卫,142 ㎡,383万,0,西
15,324,48820,https://img.0756fang.com/Upload/Fang/2021-07/s6C28E9CF0A1D44BDAC04FD486590D136.jpg/240X180,3房2厅2卫,118 ㎡,380万,0,东南
16,324,47531,https://img.0756fang.com/Upload/Fang/2021-10/2110211745319285EC8E3E61432C9CA1.jpg/240X180,4房2厅2卫,142 ㎡,326万,0,南北通
17,324,38977,https://img.0756fang.com/Upload/Fang/2021-08/210822191743D251E75BE8FD459AAE4C.jpg/240X180,3房2厅2卫,107 ㎡,305万,0,东南
18,324,12346,https://img.0756fang.com/Upload/Fang/2021-08/210806165005A225194B95704A34BEAD.jpg/240X180,2房2厅1卫,83.6 ㎡,255万,0,东南
19,324,10125,https://img.0756fang.com/Upload/Fang/2022-08/2208171105319181C729E4D2458ABD11.jpg/240X180,3房2厅1卫,112.45 ㎡,336万,0,北
20,324,11841,https://img.0756fang.com/Upload/Fang/2020-07/2007011009424B9B2E4FBE9242EA9374.jpg/240X180,6房2厅2卫,211.72 ㎡,480万,0,东北
