id,district,sub_url,photo,house_name,house_status,house_type,address,price,developer,sur_trafic,sur_school,sur_environment,sur_business,sur_entertain,peoperty_fee,property_company
1288,2,/first/1288/,https://img.0756fang.com/Upload/Dictionary/2019-05/4153b416-7858-4fd7-953b-913e9161fcc4.jpg/w600,江山赋,在售,住宅,香洲区九洲大道中20,36000,珠海市兴东房地产开发有限公司,60、69、9路（国土资源局）12、202、21、22、25、2A、2、40、603、605、992、9、K3、K7（到中电大厦）,吉大小学、吉莲小学，四中,白莲洞公园、石景山公园、海滨公园、九州城百货、国贸、各企业总部,九州城百货、国贸, 紫莲素食店，小味屋，珞珈咖啡馆，IN CAFE小米咖啡，心艺咖啡(吉大店)，六月一号咖啡屋,3.0元/㎡,金地物业
2146,2,/first/2146/,https://img.0756fang.com/Upload/Dictionary/2021-05/s909D36CE721E460EB287480356BEAE11.jpg/w600,情侣湾1号,不在售,住宅,香洲区吉大情侣南路8,65000,珠海富铿房地产有限公司,项目紧邻港珠澳大桥，快速通达澳门、香港。毗邻城轨珠海站，转瞬即达中山、广州、佛山等城市，广澳高速、广珠西线高速通达珠三角半小时生活圈。全球通大厦(公交站)2：3路、12路、23路、25路、99路、L1路,海湾小学、九洲小学、华发艺术中心、实验中学、九洲中学、育才幼儿园、南山幼儿园, 吉大是珠海名副其实的富人区，亦是珠海的商贸、旅游和金融中心，项目坐落在市区仅有的南向2公里一线黄金海岸上，北瞰九洲港和吉大C B D，西临将军山和拱北口岸，南向隔海眺望澳门半岛与港珠澳大桥。充分利用项目得天独厚的景观资源优势，设计师综合运用地势、朝向、落差、抬高等手法，呈现出一线海景高使用率大平层豪宅。,珠海免税商场、“城市之心”城市综合体、拱北莲花路商业街、万佳百货、迎宾广场、青蓝食街、华景商业街、酒吧街，金碧时代广场、华润万家商场、百货商场、海天城购物广场等；万富泉,石景山公园、海滨公园、白莲洞公园、海滨泳场、大森林公园，迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等。,5.0元/㎡,万科物业
2147,2,/first/2147/,https://img.0756fang.com/Upload/Dictionary/2021-10/s36BC12343BEE471ABE412BA074EFF398.jpg/w600,曦华园,不在售,住宅,香洲区吉大情侣南路2,51000,曦华,全球通大厦(公交站)2：3路、12路、23路、25路、99路、L1路,海湾小学、九洲中学,九洲港，海滨公园，海滨游场，渔女，港珠澳口岸，拱北关口。,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；万富泉,金碧时代广场、华润万家商场、百货商场、免税商场、国贸购物广场；迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,5.5元/㎡,珠海曦华物业有限公司
1309,2,/first/1309/,https://img.0756fang.com/Upload/Dictionary/2019-07/819c75e5-23eb-4ed8-afba-45651d6d0adb.jpg/w600,诚丰银座,不在售,住宅,香洲区吉大海滨南路6,38000,诚丰集团,3路、4路、12路、23路，到海滨南站；40路、20路、60路，到吉大总站,实验中学 九洲小学,黄金地段 近海边和公园,金碧时代广场、华润万家商场、百货商场、免税商场、海天城购物广场等；,凯迪克酒店、珠海电台、喜相逢娱乐城、柒玖捌KTV、风雅树咖啡厅、新华书店等,2.8元/㎡,诚丰物业
71,2,/first/71/,https://img.0756fang.com/Upload/Dictionary/2017-11/7fec5965-307f-4b36-b6e3-92188f436358.jpeg/w600,万科石花66号,不在售,商住,珠海市香洲区吉大石花,23000,珠海财富贸易有限公司,项目经情侣南路快速到达港珠澳大桥，畅达广珠轻轨站，通达九州港码头，半小时经深中通道，直抵深圳，形成粤港澳生活圈。,教育配套：九洲小学、吉莲小学、景园小学、吉大小学、东方幼儿园、珠海第四中学、珠海市九州中学、珠海市技师学院,周边超过20家银行总部（中农工建交等），约458家金融企业、保险公司，证券机构等。多家名企总部都在项目附近。步行可至多家政务机构。周边星级酒店林立，国宾级会客厅、商务会馆、顶楼停机坪等资源随时共享。,免税商场/国贸/珠海百货/富华里/摩尔广场等型购物天堂，多重商圈交叉覆盖核心,酒店配套：星城酒店、假日酒店、新恒安酒店、中天酒店,4.9元/㎡,珠海市万科物业服务有限公司
1308,2,/first/1308/,https://img.0756fang.com/Upload/Dictionary/2019-07/41437cb9-450b-4d3c-bca0-cb34cf99db93.jpg/w600,诚丰星座,不在售,住宅,香洲区吉大景园路19,39000,珠海市泰轩房地产开发有限公司,乘坐20路，21路，23路，43路公交在中医院站下车 。,景园小学、实验中学,九洲城商业中心,九洲城商业中心,海滨泳场、海滨花园等,3.8/㎡,光大酒店管理公司
73,2,/first/73/,https://img.0756fang.com/Upload/Dictionary/2017-11/04a19755-291b-4f17-ba1f-e265a5a7caeb.jpg/w600,恒天国际大厦,不在售,商住,吉大九洲大道    ,34000,澳门恒和企业集团,2路、12路、22路、40路、992等。,教育配套：九洲小学、吉莲小学、景园小学、吉大小学、东方幼儿园、珠海第四中学、珠海市九州中学、珠海市技师学院,生活娱乐配套：白莲洞公园、海滨公园、石景山公园、城市之心广场、环球时代影城；医院配套：珠海市中医院、珠海九龙医院等医疗资源分布四周,商业配套：富华里，沃尔玛，摩尔广场，珠海百货、免税商场，九州城，拱北关口口岸,酒店配套：星城酒店、假日酒店、新恒安酒店、中天酒店,6.0/㎡,第一太平洋戴维斯
1329,3,/first/1329/,https://img.0756fang.com/Upload/Dictionary/2019-09/e7be9b51-f128-4330-8a05-c3dac4d8515c.jpg/w600,铭泰城市广场,在售,商办,珠海市香洲区紫荆路9,16600,銘泰集团,1，32，10，K11，K4，993路，香洲总站。桃园新村巴士站605，602，609，5.10.。,三中学校、四小学校,茂业百货，通大百货，香山公园，大镜山，紫荆公园，珠海体育中心,茂业百货，通大百货，麦当劳，星巴克等知名品牌，自己本身自带商业综合体。,麦当劳，星巴克等知名品牌，茂业百货，通大百货。华发健身广场。,4.5元/㎡,銘泰物业（世邦魏理仕）
2055,3,/first/2055/,https://img.0756fang.com/Upload/Dictionary/2020-09/sC4BE79957F6E4666A84C00237E838975.png/w600,凤凰公馆,在售,住宅,香洲区碧泉街101号,32500,世纪都市,公交路线：3路、3A、10路、10A、7路、68路、69路至美丽湾站；17路、32路至神前总站,教育：凤凰海域国际幼儿园、香洲区十八小、珠海市第七中学、珠海市第三中学等全龄教育，给孩子成长提供优质的成长空间；教育：凤凰海域国际幼儿园、香洲区十八小、珠海市第七中学、珠海市第三中学等全龄教育，给孩子成长提供优质的成长空间；教育：凤凰海域国际幼儿园、香洲区十八小、珠海市第七中学、珠海市第三中学等全龄教育，给孩子成长提供优质的成长空间；,凤凰公馆位于香洲区，香洲区属于南海之滨、珠江口西岸，隔海东望香港，南面陆路接壤澳门，背倚经济发达的珠江三角洲腹地，是广东省珠海市中心城区，也是珠海市政治、经济、文化、交通和金融中心。从本项目出发约10分钟到达扬名广场商圈，畅享日月贝歌剧院、野狸岛、扬名广场等生活体验，以及香洲港码头，可乘船领略珠海各大岛屿风光。,商业：小区楼下200米即有美丽湾市场，可满足日常吃喝玩乐的生活需求，出门10分钟速达扬名广场、茂业百货、丹田城市广场及其他休闲设施于一体的商业综合体；,总投资超过13亿中国唯一建在海岛上的歌剧院日月贝歌剧院、投资10亿的珠海博物馆、展览馆、艺术中心等等这些市政重大项目，从项目出发5分钟内触手可得；休闲：顶级品牌酒店——悦椿度假酒店、天然氧吧——凤凰山森林公园、珠海新象征——凤凰塔，另有凤凰湾，情侣路，美丽湾驿站，海天驿站，海天公园等，都是您跟家人日常放松、亲近感情的好去处。,0.0元/㎡,珠海都市物业管理有限公司
1339,3,/first/1339/,https://img.0756fang.com/Upload/Dictionary/2021-10/sB2837B980CC3414798A70A6E203F7533.jpg/w600,香麓湾,不在售,别墅,香洲区神前路87号 ,40000,珠海景泽房产公司,美丽湾   神前总站17路.32路.3路.3A路.10路.10A路.68路.69路,珠海三中  七中，凤凰海域国际幼儿园，第十八小学。,海天公园  凤凰山  日月贝，凤凰北文华图书馆，日月贝  海心公园华润万家  扬名广场，日月贝  凤凰北商圈,华润万家  扬名广场，日月贝  凤凰北商圈,海天公园  凤凰山  日月贝，凤凰北文华图书馆，日月贝  海心公园,6.0元/㎡,金地物业
2272,3,/first/2272/,https://img.0756fang.com/Upload/Dictionary/2016-08/6557cc75-ead8-400b-a11d-906973da1fb7.jpg/w600,扬名广场,不在售,商铺,凤凰南路1088号 ,待定,珠海扬名房产开发有限公司,香洲客运总站，九洲港客运站，九洲港码头,香洲一小，三小，五小，二中，七中，紫荆中学,主城区核心产权代表作，十年商业运营，纳揽周边超30万常住人口，商业辐射香洲没，唐家，柠溪等区域,香洲百货购物城，茂业百货，怡华商业中心，尚都百货,日月贝歌剧院，珠海渔女，情侣路海滨浴场，海滨公园，石景山公园,0.0元/㎡,商赢物业管理有限公司
119,3,/first/119/,https://img.0756fang.com/Upload/Dictionary/2019-02/f2735be3-4f44-46b1-bd5f-2f58db2dacef.jpg/w600,弘泰豪庭,不在售,住宅,香洲区人民东路弘泰巷,32500,弘泰,4.8.9.12.13.14.20.43路,,休闲设施的精心安排，提供自然、舒适的居住环境。社区主流健康向上，社区风气良好，邻里关系和谐。,323超级平价超市、香洲百货、吉之岛购物广场,,2.8元/㎡,弘泰物业
1307,3,/first/1307/,https://img.0756fang.com/Upload/Dictionary/2021-10/sC2D2292C26A946D1A3EA31AE4637337A.jpg/w600,城市东岸,不在售,别墅,香洲区梅华东路6号 ,41000,:广东家和置地投资有限公司,小区门口公交站：3  3A  10  10A  17 18 32  68  ，有轨电车,十八小学、七中、三中。,日月贝歌剧院、凤凰湾沙滩、珠海博物馆、悦椿酒店、扬名广场、茂业百货、华润万家、海韵城。十八小学、七中、三中、人民医院、中大五院。海天驿站、里神前市场。,扬名广场、茂业百货、华润万家。,悦春渡假酒店，日月贝歌剧院、凤凰湾沙滩、珠海博物馆、悦椿酒店、扬名广场、茂业百货、华润万家、海韵城。,5.0元/㎡,广东家和置地物业服务有限公司
1141,3,/first/1141/,https://img.0756fang.com/Upload/Dictionary/2019-06/f355b28a-dd0e-410c-8ffd-50d7c23ba8fa.jpg/w600,悦澜山,不在售,住宅,香洲区契爷岭二街60,37000,珠海市碧海山景房地产开发有限公司,3路，10路，66路，3A，68路。,十八小学、七中、三中。,日月贝歌剧院、凤凰湾沙滩、珠海博物馆、悦椿酒店、扬名广场、茂业百货、华润万家、海韵城。十八小学、七中、三中、人民医院、中大五院。海天驿站、里神前市场。,扬名广场、茂业百货、华润万家。,日月贝歌剧院、凤凰湾沙滩、珠海博物馆、悦椿酒店、扬名广场、茂业百货、华润万家、海韵城。,3.0元/㎡,同裕物业
1304,3,/first/1304/,https://img.0756fang.com/Upload/Dictionary/2019-07/783f8edb-4699-4fed-bd6d-bf316a9bc8da.jpg/w600,天宸,不在售,住宅,香洲区契爷岭二街2号,40000,珠海经济特区明星大厦有限公司,3路、3A路、7路、10路、32路、68路、69路公车,市七中  珠海市十八小,教育配套：中山大学珠海分校、北师大珠海分校、珠海市第三中学(省一级职业高中)、珠海市第七中学(省一级学校)、香洲二小海前校区(香洲区一级学校)、香洲区十八小、幼儿园。 医疗配套：中山大学附属第五医院。,尚都百货、香洲百货、扬民广场、吉之岛超市、电脑城。,契爷岭海滨公园  音乐学院  野狸岛,4.1元/㎡,深圳历思联行物业管理有限公司
1267,3,/first/1267/,https://img.0756fang.com/Upload/Dictionary/2019-03/b38cb6a9-89e9-4bdf-ba10-105fbc094f0f.png/w600,春暖花开花园,不在售,住宅,香洲区神前路100号,34000,珠海经济特区南兴开发公司,公交路线：3路、3A、10路、10A、7路、68路、69路至美丽湾站；17路、32路至神前总站,香洲第十八小学、珠海三中  七中,紧邻凤凰山脉，依山傍水，音乐贝等大型配套。,华润万家、尚都百货、扬名广场,会所、游泳池、网球场、棋牌室、书吧、健身房、康乐休闲设施,0.0元/㎡,中海物业
1472,3,/first/1472/,https://img.0756fang.com/Upload/Dictionary/2020-06/sDEB37E7FD0D44BD2B922D6C83B26FBD6.jpg/w600,优特绿城桂语香山,不在售,其它,香洲区云栖街63号（,23000,珠海优特房地产开发有限公司,1，32，10，K11，K4，993路，香洲总站，桃园新村巴士站605，602，609，5.10,香华小学，文园中学,茂业百货，通大百货，香山公园，大镜山，紫荆公园，珠海体育中心,茂业百货，通大百货，麦当劳，星巴克等知名品牌，自带13.8万平米商业综合体。,麦当劳，星巴克等知名品牌，茂业百货，通大百货，华发健身广场。,3.0元/㎡,优特物业
2077,3,/first/2077/,https://img.0756fang.com/Upload/Dictionary/2020-10/sCA98DAA17E754C1E93A92ECCFFC62BFC.jpeg/w600,凤凰海域,不在售,住宅,香洲区神前路19号 ,45000,珠海市国鼎集团有限公司,乘坐3路、10路、17路、32路、68路、69路公交车，在美丽湾巴士站下车,神前小学 七中  小区自带双语幼儿园,凤凰海域幼儿园、珠海市第18小学、珠海市第7中学，富丽华假日酒店、颐和堂药店、嘉宝华药店、好百家超市、美丽湾市场、品海轩餐厅、凤凰山庄餐厅、交通银行ATM机（全部在小区周边）医院：中大医院第五附属医院银行：农行、建行、工行,尚都百货  香洲百货 吉之岛超市,食神、叠石酒家、聚龙酒店、高尔夫球场、野狸岛,2.5元/㎡,世邦魏理仕
2037,3,/first/2037/,https://img.0756fang.com/Upload/Dictionary/2020-08/s647BA91AC5DB4491964A9A8D5B6C37F3.jpeg/w600,恒荣城市溪谷,不在售,住宅,一期：香洲区神前路9,36000,珠海市中广房产开发有限公司,公交路线：3路、3A、10路、10A、7路、68路、69路至美丽湾站；17路、32路至神前总站,凤凰海域国际幼儿园、香洲区第十八小学、珠海市第七中学、珠海市第三中学,紧邻凤凰山脉，依山傍水，音乐贝等大型配套。,华润万家、尚都百货、扬名广场,会所、游泳池、网球场、棋牌室、书吧、健身房、康乐休闲设施,3.0元/㎡,珠海恒荣物业管理有限公司
1264,3,/first/1264/,https://img.0756fang.com/Upload/Dictionary/2019-03/bfa1c93f-5f8a-4f83-8f99-9c99259c72c6.jpg/w600,港珠湾山庄,不在售,别墅,香洲区银坑泉星路92,60000,,,,,,,,
1263,3,/first/1263/,https://img.0756fang.com/Upload/Dictionary/2019-03/483b673a-387d-4e68-99b5-1e31cabc6c5c.jpg/w600,韵怡湾,不在售,住宅,香洲区香埠路112号,35500,珠海市粤恒信房地产开发有限公司,2路、6路、8路、26；路、605路等，到邮政大厦站,幼儿园：金路艺术幼儿园；中小学：香洲区第一小学、香洲区第四小学、珠海第七中学、珠海紫荆中学,商场学校市场银行应有尽有的生活圈,丹田广场、香洲百货、吉之岛购物广场、百分百超市、明和百货等,野狸岛海岛歌剧院，香洲游艇码头、海边情侣中路、海滨公园、石景山公园、海滨浴场、珠海渔女、香炉湾 珠海大会堂,0.9/㎡,广粤物业
2072,4,/first/2072/,https://img.0756fang.com/Upload/Dictionary/2020-10/s46EAF80A26A94329BDC265386F88FB03.jpg/w600,一方云顶,不在售,商住,香洲区珠云巷32号(,24500,珠海一方置地有限公司,16、17、26、99、992、999、b5、b6、有轨电车1号线,比邻珠海第一高级中学、凤凰小学、凤凰中学等多所重 点中小学,明珠轻轨站、金琴快线、兴业快线、有轨电车1号线，有上冲医院，博雅医院、珠海口腔医院等,自带商业综合体，印象城（山姆会员店）、奥园商业广场、万科里商业街、佐阾购物中心（在建） 等大型高端商业环伺,梅溪牌坊、农科奇观所、香山湖公园,5.5元/㎡,保利物业
1332,4,/first/1332/,https://img.0756fang.com/Upload/Dictionary/2021-04/sE42E4195D6DA473096E5720A1974908E.png/w600,绿景喜悦荟,不在售,住宅,香洲区信景路168号,31500,正兴隆房地产珠海有限公司,明珠轻轨站、有轨电车总站、上冲客运总站、明珠巴士站仅公交路线：42、43、55、931、B6、B7、B8,棕榈假日幼儿园  长沙幼儿园 同乐幼儿园 云峰幼儿园,明珠轻轨站、有轨电车总站、上冲客运总站、明珠巴士站,印象城、奥园广场、诚丰广场、万科里商业街、明珠商业广场、二城商业广场、新香洲华润万家等,上冲社区公园、翠景社区公园、石溪公园、农科奇观、珠海市体育中心等（另小区自带1.7万平米商业 ）,2.8元/㎡,绿景物业
2184,4,/first/2184/,https://img.0756fang.com/Upload/Fang/2021-10/sE5CCB51A37FE429781F6D47E673D1EA3.jpeg/w600,建发央璟,不在售,住宅,珠海新香洲区春风路 ,40000,珠海悦发置业有限公司,坐城轨明珠站，距离项目1.5千米；广；有轨电车总站，距离项目约800米；经明珠路至拱北口岸约25分钟车程明珠轻轨站、有轨电车总站、上冲客运总站、明珠巴士站仅 公交路线：42、43、55、931、B6、B7、B8,香洲区第十五小学、香洲区第九中学,珠海建发央璟所在的新香洲，是融市级行政、体育、文化功能与居住功能为一体的城市中心区，板块内配套醇熟，宜居宜业。,乐世界、奥园广场、万科里商业街、明珠商业广场、置地新天地二城商业广场、诚丰广场、旺角百货,梅溪牌坊旅游区、香山湖公园、体育中心、上冲社区公园等近在咫尺,3.0元/㎡,怡家园
29,4,/first/29/,https://img.0756fang.com/Upload/Dictionary/2018-08/49c3fc4d-eccd-4536-a5d4-7015920777fa.jpg/w600,奥园广场,不在售,写字楼,香洲区金桔路8号(1,21000,珠海市梅溪置业有限公司,"公安村西[公交站]（26），云顶澜山[公交站]（70,35,41,99,46），长沙[公交站]（36,41），福溪[公交站]（41），园艺研究所[公交站]（41），交警支队[公交站]（26）",尔得花美语幼稚园（642米），珠海市香洲区崇文学校（814米），小雨星早教中心（840米），香洲区第二十二小学（1087米），智慧树幼儿园（1120米），心笛摇篮（1183米）,梅溪牌坊,永旺超市，IMAX电影院，真冰溜冰场,春晖社区公园（1062米），南溪公园（1228米），中国中影影院（1690米），拾光里电影咖啡私人影院(怡华街店)（1936米），东坑公园[公交站]（1949米），上冲社区公园（2013米）,2.8元/㎡,奥园物业
