property_company,developer,property_fee,house_type,surr_envi,surr_school,surr_trafic,surr_business,surr_entertain,id
锦豪物业,鸣志房产（任丰投资有限公司）,2.2 元/平米*月,住宅,圆明新园，梦幻水城，10分钟到板樟山森林公园,拱北中学和金钟小学,69.13.991.62路到圆明山庄下车,得一超市，华润万家便利店，前山人民医院,圆明新园，梦幻水城，10分钟到板樟山森林公园，中国城，咖啡店,1334
恒隆物业,恒隆物业,2.9 元/平米*月,住宅,珠海市第二人民医院  文华书城 农业银行、建设银行、邮政储蓄、中国银行,拱北中学，拱北小学,1、2、10、11、13、21、32、33、35 62华侨宾馆站下,华润万家超，拱北口岸地下商场 迎宾广场、屈臣氏,板障山森林公园、文华书店、拱北市场,1531
豪达物业,豪达物业,3.0 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,249
龙园山庄,龙园山庄实业发展有限公司,1.8 元/平米*月,住宅,一座浪漫之城，一条浪漫之路，一个浪漫家园。 龙园.海湾雅苑代表珠海未来居住的最高水准，在城市最美的地段，享受最美的生活。龙园海湾雅苑位于这条绸带的中心，背依青山葱翠，前拥天高海阔。,拱北小学，拱北中学,公交站有：4路、9路、13路、99路、207路，日华花园站。周边重要交通干线有港珠澳大桥及延长线、广珠城际轻轨珠海站、情侣路、105国道、太澳高速、连通珠海机场和各大港口，海陆空交通系统非常发达，区位交通条件十分优越。从拱北口岸过关，仅需十多分钟，区内拥有拱北汽车运输公司和歧关车路有限公司，交通方便快捷。,拱北口岸地区，独特的地理位置，这里拥有目前世界先进的全部五种商业组织形式：百货、零售、连锁、超市步行街，大型商业中心有：莲花路商业步行街、莲花万景城、万家百货、拱北口岸地下商业广场、迎宾广场、拱北免税商场。,临近拱北口岸重地，每年经拱北口岸进出境的海内外旅客4000多万人次，是珠海市人流最旺的地区。享有得天独厚的地缘、人缘优势。拱北商贸、金融、信息、交通、旅游十分发达。区内有全国单间面积第二大的万佳百货超市、珠海市最繁荣的莲花路商业街、拱北酒吧街，拥有银都、海湾、粤海、华宾、步步高、拱宾等著名酒店，是人们旅游观光、休闲、居住的好地方。,227
庆宜物业,华城庆宜房产开发有限公司,0.5 元/平米*月,住宅,邻迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学/拱北中学,1路、2路、2A路、4路、8路、9路、10路、30路、31路、32路、33路、34路、99路、101路、601路、608路，到万家百货站，或口岸地下广场站；,万佳百货；米兰百货；地下商场；,侨光按摩、自然美保健,198
正方物业管理处,珠海房产开发有限公司,0.5 元/平米*月,住宅,板樟山森林公园，金钟美食一条街,金钟小学和拱北中学,32.33.35.609.K6.K9.10路，11路，22路，14路等公交线经过隧道南巴士站,得一超市，华润万家超市，兰埔美食街，到拱北口岸仅需3分钟车程,板樟山森林公园，圆明新园和梦幻水城,245
,,1.8 元/平米*月,住宅,,,,,,316
华维管理公司,珠海益铨房产,1.0 元/平米*月,住宅,北岭巴士站，圆明新园，板障山森林公园,北岭小学，十六中学,1路、13路、14路、25路、30路、40路、60路、62路、69路、201北岭巴士站，兰埔巴士站,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场，沃尔玛,莲花路步行街、圆明新圆、梦幻水城、板嶂山森林公园、文华书城,241
华维物业管理,珠海经济特区华苑房产开发有限公司,1.3 元/平米*月,住宅,地处繁华，坐拥全城，是九洲大道与迎宾大道交汇处的标志性建筑物，地下一层，商业裙楼二层，其上设四栋十六层居住塔楼，是集居住 办公 商业 多功能为一体的现代化复合型建筑体。,北岭小学，拱北小学，拱北中学,1路、13路、14路、25路、30路、40路、60路、62路、69路、201路等,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场,板障山森林公园，圆明新园，梦幻水城，口岸广场,247
珠海经济特区广信物业管理有限公司,,1.2 元/平米*月,住宅,板障山森林公园、休憩娱乐公园，板障山隧道，口岸广场,拱北小学，北岭小学，拱北中学,北岭巴士站,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场,莲花路步行街、圆明新圆、梦幻水城、板嶂山森林公园,215
明城物业,不详,0.8 元/平米*月,住宅,海祥园蓝球场，圆明新园，板樟山森林公园，梦幻水城，兰埔美食街。,"拱北中学和金钟小学,第十六中",69.13.62路到兰埔东巴士站,兰埔市场，得一超市，华润万家超市,海祥园蓝球场，圆明新园，板樟山森林公园，梦幻水城，兰埔美食街，八分田咖啡。,243
华发物业,华发物业,0.0 元/平米*月,住宅,莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学，拱北中学,4路、207路等，到银海新村站,莲花路步行街，华润万家，迎宾百货，米兰百货,拱北酒吧街，莲花路步行街,314
国维物业管理有限公司,珠海维星实业有限公司,3.0 元/平米*月,住宅,来魅力酒店，汉庭酒店，7天酒店，圆明新园，梦幻水城，拱北口岸，拱北地下商场。,爱儿国际幼儿园，领秀城大地国际幼儿园，北岭小学，拱北中学。,13，21，30，62，69，991，1，14路桂花北，兰埔，兰埔东，交通设施完善，交通四通八达。,沃尔玛，摩尔广场，富华里，北岭市场，兰埔市场。,麦当劳，星巴克等知名品牌，银石雅园网球场，炮山台溜冰场，沃尔玛，摩尔广场，富华里，麦潮，凯歌，嗨森,6841
富绅物业,富绅物业,1.2 元/平米*月,住宅,珠海市第二人民医院，桂花北邮局，中国银行、建设银行、交通银行，国美电器,拱北小学、拱北中学,4路路 36路路 62路路 82路，到新市花园站,保利来商业城(迎宾南路)、莲花万景城(莲花路)、拱北口岸购物广场、珠海口岸购物广场(北2门),海兴海鲜大排档、红叶西餐厅、红蜻蜓美食、阿川酸辣粉、港兴茶餐厅,206
友谊物业,兰埔股份合作有限公司,1.0 元/平米*月,住宅,非常不错，有圆明新园，梦幻水城,金钟小学，拱北中学，第十六中,62.69.13路到圆明山庄巴士站下,得一超市，华润万家，兰埔市场，八分田咖啡，兰埔美食街,圆明新园和梦幻水城,278
华发物业管理公司,华发实业股份有限公司,2.0 元/平米*月,住宅,民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学 拱北中学,1路、2路、4路、8路、9路、10路、30路、31路、32路、33路、34路、608路，到万家百货站，或口岸地下广场站；,来来超市  华润万家、又一家超市,侨光，自然美，莲花路步行街,235
米兰物业,,3.0 元/平米*月,住宅,邻迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；,拱北小学，拱北中学,1路、2路、4路、8路、9路、10路、30路、31路、32路、33路、34路、608路，到万家百货站，或口岸地下广场站；,华润万家、又一家超市，迎宾百货,侨光，自然美，莲花路步行街，口岸广场,273
葆力物业,福建海祥房产,1.1 元/平米*月,住宅,圆明新园，梦幻水城，板樟山森林公园,"金钟小学和拱北中学,第十六中",69.62.13.991路到兰埔东巴士站下车即可,得一超市，华润万家，兰埔市场，兰埔美食街,圆明新园，梦幻水城，板樟山森林公园，兰埔美食街，蓝球场，羽毛球所,228
亮华物业,一期东升，二期亮华房产,0.7 元/平米*月,住宅,到圆明新园约5分钟，到板樟山约3分种，到拱北口岸约10分钟车程,"金钟小学和拱北中学,第十六中",62.13.69路到兰埔东下车,兰埔市场，华润万家，得一超市,圆明新园和板樟山,199
仁恒物业,仁恒置业,7.0 元/平米*月,住宅,拱北口岸核心资产，零距离珠澳双城生活圈，周边商圈环伺，交通便利，星级酒店林立，国宾级会客厅、商务会馆、等资源随时共享。,夏湾小学、夏湾中学、珠海一中附属实验中学、拱北小学、拱北中学、北岭小学,情侣南路  拱北口岸总站2路4 路 9路  99 路 观光线  拱北口岸,拱北口岸商场，华润万家大型超市，沃尔玛超市，米兰百货,铂金洲仔酒店  来魅力。酒店：益健、新海利、棕泉、来魅力、东方印象、帝澜思、昌安等。,6073
明诚物业,明诚物业,0.8 元/平米*月,住宅,工商银行、中国银行、邮政储蓄、交通银行,北岭小学 拱北中学,桂花中13;21;30,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,293
格力物业,格力物业,1.3 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,310
集美物业,集美物业,2.2 元/平米*月,住宅,建设银行、邮政储蓄、中国银行 第二人民医院,拱北小学     北岭小学  拱北中学,1;2;10;10a;11;32;33;35;62;华侨宾馆,万佳百货、迎宾广场、屈臣氏,银都酒店、三间堂、板障山森林公园,320
中骏物业,江苏一建,1.1 元/平米*月,住宅,圆明新园，梦幻水城,拱北中学和金钟小学,69.13.62路到圆明山庄巴士站下车，1.25.40.30.605.206.609.K6，K9，K7，603路到兰埔巴士站下车，步行5分钟即可,得一超市，华润万家便利店，兰埔市场，八分田咖啡,圆明新园，梦幻水城，板樟山森林公园,321
半山管理,珠海远大置业有限公司,2.9 元/平米*月,住宅,毗邻港珠澳大桥落脚点及拱北口岸,拱北小学，拱北中学,4路、到海湾大酒店站； 9路、13路、99路、到日华花园站下,莲花路步行街，酒吧街,莲花路步行街，酒吧街,224
仁河酒店管理有限公司,珠海市兰埔股份合作公司,3.0 元/平米*月,住宅,市中心黄金地段，配套齐全，交通便利，周边市场、学校、医院、银行等一应俱全。,"金钟小学、北岭小学、前山小学、前山中学、拱北中学、第十一中学,第十六中。",小区外面就是九洲大道，是珠海为数不多的主干道之一，多条巴士线路经过。圆明新园：13-1-25-30-40-60-62-69-991-992等。兰埔站：30-60-992-K9等。,小区自带4.4万平方商业综合体、对面有富华里、诚丰广场（天虹商场）、摩尔广场（沃尔玛）,富华里、圆明新园、板障山、梦幻水城、白莲洞公园等。,6271
,,1.2 元/平米*月,住宅,板障山森林公园，口岸广场,北岭小学、拱北小学、拱北中学；,1路、2路、10路A、10路、11路、32路、33路、35路、62路，到北岭站；,沃尔玛，万佳百货，迎宾广场,莲花路步行街、拱北市场、拱北海关、拱北宾馆,268
自主物业,自主物业,0.7 元/平米*月,住宅,中国银行，建行，邮政，市场，,拱北小学、拱北中学,1;2;8;9;10;10a;11;30;31;32;33;34;35;62;82;99;207;601;608华润万家,又一家超市、屈臣氏、万佳百货、米兰百货、迎宾广场,新海利海鲜美食广场，谭鱼头珠海拱北店，炮台山公园,302
中珠物业,中珠,1.2 元/平米*月,住宅,邻迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学、拱北中学,1路、2路、4路、8路、9路、10路、30路、31路、32路、33路、34路、608路，到万家百货站，或口岸地下广场站；,华润万家、又一家超市,侨光，自然美，莲花路步行街,234
嘉辰物业,嘉辰物业,1.2 元/平米*月,住宅,工商银行、中国银行、邮政储蓄、交通银行,拱北小学  拱北中学,桂花中13;21;30,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,218
珠光物业,珠光物业,0.6 元/平米*月,住宅,炮台山公园、夏湾市场、拱北市场,拱北小学  拱北中学,桂花中 13;21;30,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,328
鸿源物业,鸿源物业,1.6 元/平米*月,住宅,拱北市场，炮台山公园，市第二人民医院，建设银行、工商银行、中国银行、邮政储蓄,拱北小学、拱北中学,8路、13路、31路、30路、34路、207路，到凉粉桥站,万佳百货、迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,200
名城物业,珠海第二城市开发有限公司,0.6 元/平米*月,住宅,板樟山森林公园,金钟小学，拱北中学,62.13.991.69路到兰埔东下车,得一超市，楼下便利店，兰埔市场,板樟山森林公园，步行5分钟到梦幻水城和圆明新园,305
远东物业,远东物业,0.6 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62;,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,269
山田物业,山田物业,0.6 元/平米*月,住宅,白莲洞公园、板障山森林公园,幼儿园：春田花花幼稚园； 中小学：北岭小学、拱北小学、拱北中学；,1、2、10、11、13、21、32、33、35、62路北岭巴士站,华润万家、沃尔玛,综合商场：迎宾广场、华润万家； 医院：石花门诊部； 邮局：粤海东邮局； 银行：建设银行；,237
葆利物业,海关,0.7 元/平米*月,住宅,拱北市场、莲花路步行街、紧邻澳门,,1路、2路、8路、9路、10A路、10路、11路、30路、31路、32路、33路、34路、35路、62路、82路、99路、207路、601路、608路，到华润万家站；,万家，米兰百货。迎宾百货。国美，泰锋,拱北市场、莲花路步行街、文华书店等,220
保利物业,海关,1.2 元/平米*月,住宅,临近拱北口岸繁荣商圈，与万家百货数步之距，海关宿舍楼，拱北市场、莲花路步行街、文华书店等,拱北小学，拱北中学,1路、2路、8路、9路、10A路、10路、11路、30路、31路、32路、33路、34路、35路、62路、82路、99路、207路、601路、608路，到华润万家站；,华润万家、屈臣氏、拱北地下商场等；,莲花路步行街、文华书店等,219
,,0.0 元/平米*月,住宅,,,,,,272
自家物业,自家物业,0.6 元/平米*月,住宅,"国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,北岭（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,238
自家物业,自家物业,0.8 元/平米*月,住宅,板障山森林公园、文华书店、拱北市场,拱北小学、拱北中学；,1路、2路、观光02线、10路、10路A、11路、32路、33路、35路、62路，到北岭；,华润万家便利超市,新海利海鲜美食广场  香江酒店  谭鱼头珠海拱北店,192
,,0.7 元/平米*月,住宅,板樟山森林公园，5分钟到圆明新园和梦幻水城，10分钟到前山人民医院。,拱北中学和金钟小学,32.33.10.22.K6.K9.11.35.14.等在隧道南下车,得一超市，华润万家超市。兰埔市场,八分田咖啡，兰埔美食街，各地方特色菜均有。圆明新园和梦幻水城，板樟山公园,205
自家物业,自家物业,0.6 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,262
亚仿物业,亚仿物业,0.6 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,北岭（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,309
华程物业,华程物业,1.6 元/平米*月,车库,KFC、麦当劳、拱北市场、文华书店、,"幼儿园： 银海托幼,拱北幼儿园,珠海市健中幼儿园,乐华幼儿园,南山幼儿园 中小学：拱北小学，、拱北中学、香洲实验中学；",02路观光线、4路、9路、13路、99路、207路，到日华花园站,莲花万景城、口岸地下购物广场、华润万佳等；,口岸地下购物广场、莲花路步行街,285
御兴物业,御兴物业,1.4 元/平米*月,住宅,农业银行、建设银行、邮政储蓄、中国银行  板障山森林公园  第二人民医院,拱北小学、拱北中学,8路、13路、31路、30路、34路、207路，到凉粉桥站,万佳百货、迎宾广场、屈臣氏,新海利海鲜美食广场  谭鱼头珠海拱北店,312
明盛物业,,20.0 元/平米*月,写字楼,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,北岭（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,277
,,1.5 元/平米*月,住宅,板障山森林公园、休憩娱乐公园，板障山隧道，口岸广场，,拱北小学，北岭小学，拱北中学,北岭巴士站,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场,莲花路步行街、圆明新圆、梦幻水城、板嶂山森林公园,240
中峻物业,中峻物业,1.0 元/平米*月,住宅,仁和骨伤医院 、传统医学研究所、市第二人民医院；,拱北中小学,1路、2路、观光02线、10路、10路A、11路、32路、33路、35路、62路，到北岭,万佳百货、迎宾广场、又一家超市、屈臣氏,农业银行、建设银行、邮政储蓄、中国银行,191
中珠物业,中珠,2.1 元/平米*月,住宅,迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学，拱北中学,1、2、2A、8、9、10、10A、11、30、31、32、33、35、99、101、207、601、601B、608等，到万佳站；,米兰百货、华润万家超市、迎宾百货、泰锋电器、国美电器,侨光按摩、豪光按摩、自然堂、活泼按摩,296
自主物业,自主开发,0.5 元/平米*月,住宅,合罗山，市政排水渠，沃尔玛商场,北岭小学，拱北小学，拱北中学,桂花中巴士站,沃尔玛，华润万家,板障山，口岸广场,213
自家物业,,0.8 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院","拱北小学、拱北中学,",华侨宾馆（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,299
没有,不详,0.8 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,北岭（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,233
金钟物业,珠海房产开发有限公司,1.2 元/平米*月,住宅,梦幻水城，圆明新园，板樟山公园,金钟小学和拱北中学，第十六中,32.33.609.22.35.11.12.10.K9.K6等,得一超市，楼下便利店,梦幻水城，圆明新园，板樟山公园,248
恒安物业,恒安物业,1.0 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,北岭（1;2;10;10a;11;32;33;35;62;,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,202
深圳彩生活,凤凰泰富,6.0 元/平米*月,住宅,"凤凰谷项目南侧为联安路，东连水湾路及情侣南路，西接迎宾南路。可乘坐4路, 9路, 13路, 36路 99路公交车在粤海东站、日华花园站、银都站、银海新村站下车 。",拱北小学、拱北中学,"4路, 9路, 13路, 36路 99路公交车在粤海东站",万佳百货、米兰百货、免税商场、莲花路商业步行街,酒吧街、皇家台球俱乐部、粤海保龄球馆,1466
,,0.0 元/平米*月,住宅,一座浪漫之城，一条浪漫之路，一个浪漫家园。 龙园.海湾雅苑代表珠海未来居住的最高水准，在城市最美的地段，享受最美的生活。龙园海湾雅苑位于这条绸带的中心，背依青山葱翠，前拥天高海阔。,拱北小学，拱北中学，嘉艺幼儿园,公交站有：4路、9路、13路、99路、207路，日华花园站。周边重要交通干线有港珠澳大桥及延长线、广珠城际轻轨珠海站、情侣路、105国道、太澳高速、连通珠海机场和各大港口，海陆空交通系统非常发达，区位交通条件十分优越。从拱北口岸过关，仅需十多分钟，区内拥有拱北汽车运输公司和歧关车路有限公司，交通方便快捷。,拱北口岸地区，独特的地理位置，这里拥有目前世界先进的全部五种商业组织形式：百货、零售、连锁、超市步行街，大型商业中心有：莲花路商业步行街、莲花万景城、万家百货、拱北口岸地下商业广场、迎宾广场、拱北免税商场。,临近拱北口岸重地，每年经拱北口岸进出境的海内外旅客4000多万人次，是珠海市人流最旺的地区。享有得天独厚的地缘、人缘优势。拱北商贸、金融、信息、交通、旅游十分发达。区内有全国单间面积第二大的万佳百货超市、珠海市最繁荣的莲花路商业街、拱北酒吧街，拥有银都、海湾、粤海、华宾、步步高、拱宾等著名酒店，是人们旅游观光、休闲、居住的好地方。,226
自主物业,自主物业,0.8 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",北岭小学  拱北中学,凉粉桥（8;13;30;31;34;207;601;601b;608,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,308
海逸物业,海逸房地产集团,5.5 元/平米*月,别墅,海逸雍雅堡拥有便利的生活交通条件，它处于纵贯东西的珠海九洲大道和纵贯南北的迎宾路的中心位置，向东至九州港港口，可达深港澳；向西直通珠海机场；向南可至拱北口岸，直通澳门。,金钟小学、拱北中学,乘坐13路，62路，69路公交车在兰埔东站下车 。,兰埔东路商业街,板障山公园、圆明新园、梦幻水城等景区。,4597
,,0.0 元/平米*月,住宅,,,,,,4551
田地物业,田地开发,1.6 元/平米*月,住宅,莲花路步行街、拱北市场、拱北海关、拱北宾馆、信禾汽,拱北小学，拱北中学,02路观光线、4路、9路、13路、99路、207路，到日华花园站,莲花万景城、口岸地下购物广场、华润万佳等；,莲花路步行街，,223
鸿翔物业,珠海市汕业房地产开发有限公司,2.0 元/平米*月,住宅,拱北最繁华的商业区，靠近拱北口岸，在口岸广场的左侧，是全珠海名副其实的地中之王。周边风景如画的环境，配上拱北口岸合四周的现代化建筑，尽显珠海的美丽风光,拱北小学、拱北中学,1、L1、2、2A、8、9、10、11、12、30、31、32、33、35、60、99、601、601B、608等，到万佳站,米兰百货、华润万家、迎宾广场、口岸地下广场；,莲花路步行街，侨光保健。,231
自家物业,自家物业,0.0 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",北岭小学 拱北中学,北岭（1;2;10;10a;11;32;33;35;62;,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,284
,,1.0 元/平米*月,住宅,,,,,,195
,,0.0 元/平米*月,住宅,建设银行、工商银行、中国银行、邮政储蓄、交通银行炮台山公园、拱北市场，市第二人民医院,拱北小学、拱北中学,拱北万家 （1路; 2路; 8路; 9路; 10a路; 10路; 10路班车; 11路; 11路夜班; 30路; 31路; 32路; 33路; 34路; 35路; 82路; 99路; 101路; 207路; 601b路; 601路; 601,万佳百货、迎宾广场、又一家超市、屈臣氏,莲花万景城 (莲花路)、银都食街、珠海口岸购物广场,207
,,0.6 元/平米*月,住宅,合罗山，昌安假日酒店，口岸广场,北岭小学，拱北中学,合罗山巴士站,万佳百货，沃尔玛,口岸广场，沃尔玛,4263
,,0.0 元/平米*月,住宅,,,,,,6785
,,0.0 元/平米*月,住宅,,,,,,271
,,0.6 元/平米*月,住宅,昌安假日酒店，合罗山墓园,北岭小学，拱北中学,合罗山酒店,万佳百货，沃尔玛,昌安假日酒店，芙蓉王酒店,196
自家物业,自家物业,0.6 元/平米*月,住宅,珠海市第二人民医院,拱北中学  拱北小学,8;21;31;34;56;207;601;601b;608凉粉桥,万佳百货、迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场,279
,,0.6 元/平米*月,住宅,梦幻水城，圆明新园，板樟山森林公园,金钟小学，拱北中学,62.13.69.991路到兰埔东巴士站下车,得一超市，华润万家便利店，兰埔市场,梦幻水城，圆明新园，板樟山森林公园,259
义福物业,,0.6 元/平米*月,住宅,珠海市第二人民医院，桂花北邮局，中国银行、建设银行、交通银行，国美电器,拱北小学，拱北中学,4路路 36路路 62路路 82路，到新市花园站,保利来商业城(迎宾南路)、莲花万景城(莲花路)、拱北口岸购物广场、珠海口岸购物广场(北2门),海兴海鲜大排档、红叶西餐厅、红蜻蜓美食、阿川酸辣粉、港兴茶餐厅,311
,,0.0 元/平米*月,住宅,华润万家 口岸地下购物广场 酒吧街 中国银行,拱北中学  拱北小学,31路 9路 水湾路南下,华润万家  口岸地下购物广场,酒吧街 莲花路步行街,225
