id,district,sub_url,photo,build_year,house_name,address,price,property_company,developer,property_fee,house_type,surr_envi,surr_school,surr_trafic,surr_business,surr_entertain
1334,1,/loupan/1334.html,https://img.0756fang.com/Upload/Fang/2021-08/2108241808096F3E86B54C7A4DFEA861.jpg/260X170,2009,钰海上峰,珠海市前山兰埔路15,32258,锦豪物业,鸣志房产（任丰投资有限公司）,2.2 元/平米*月,住宅,圆明新园，梦幻水城，10分钟到板樟山森林公园,拱北中学和金钟小学,69.13.991.62路到圆明山庄下车,得一超市，华润万家便利店，前山人民医院,圆明新园，梦幻水城，10分钟到板樟山森林公园，中国城，咖啡店
1531,1,/loupan/1531.html,https://img.0756fang.com/Upload/Dictionary/2019-06/f64ee2fb-3ac9-4da3-b569-f3920d97ca3e.jpg/260X170,2015,恒虹世纪广场,香洲区迎宾南路200,27473,恒隆物业,恒隆物业,2.9 元/平米*月,住宅,珠海市第二人民医院  文华书城 农业银行、建设银行、邮政储蓄、中国银行,拱北中学，拱北小学,1、2、10、11、13、21、32、33、35 62华侨宾馆站下,华润万家超，拱北口岸地下商场 迎宾广场、屈臣氏,板障山森林公园、文华书店、拱北市场
249,1,/loupan/249.html,https://img.0756fang.com/Upload/Dictionary/2020-07/sDA2561DC868B48B6A4340CF14D029E32.jpg/260X170,1997,骏发山庄,香洲区拱北联安路18,18696,豪达物业,豪达物业,3.0 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
227,1,/loupan/227.html,https://img.0756fang.com/Upload/Dictionary/2020-11/201129144227DD30407111214011852B.jpg/260X170,2004,龙园海湾雅苑,情侣南路288号  ,27021,龙园山庄,龙园山庄实业发展有限公司,1.8 元/平米*月,住宅,一座浪漫之城，一条浪漫之路，一个浪漫家园。 龙园.海湾雅苑代表珠海未来居住的最高水准，在城市最美的地段，享受最美的生活。龙园海湾雅苑位于这条绸带的中心，背依青山葱翠，前拥天高海阔。,拱北小学，拱北中学,公交站有：4路、9路、13路、99路、207路，日华花园站。周边重要交通干线有港珠澳大桥及延长线、广珠城际轻轨珠海站、情侣路、105国道、太澳高速、连通珠海机场和各大港口，海陆空交通系统非常发达，区位交通条件十分优越。从拱北口岸过关，仅需十多分钟，区内拥有拱北汽车运输公司和歧关车路有限公司，交通方便快捷。,拱北口岸地区，独特的地理位置，这里拥有目前世界先进的全部五种商业组织形式：百货、零售、连锁、超市步行街，大型商业中心有：莲花路商业步行街、莲花万景城、万家百货、拱北口岸地下商业广场、迎宾广场、拱北免税商场。,临近拱北口岸重地，每年经拱北口岸进出境的海内外旅客4000多万人次，是珠海市人流最旺的地区。享有得天独厚的地缘、人缘优势。拱北商贸、金融、信息、交通、旅游十分发达。区内有全国单间面积第二大的万佳百货超市、珠海市最繁荣的莲花路商业街、拱北酒吧街，拥有银都、海湾、粤海、华宾、步步高、拱宾等著名酒店，是人们旅游观光、休闲、居住的好地方。
198,1,/loupan/198.html,https://img.0756fang.com/Upload/Dictionary/2018-09/a3d46744-32b6-4b13-b2f9-44e36660427f.jpg/260X170,1993,昌盛花园,香洲区拱北昌盛路74,22194,庆宜物业,华城庆宜房产开发有限公司,0.5 元/平米*月,住宅,邻迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学/拱北中学,1路、2路、2A路、4路、8路、9路、10路、30路、31路、32路、33路、34路、99路、101路、601路、608路，到万家百货站，或口岸地下广场站；,万佳百货；米兰百货；地下商场；,侨光按摩、自然美保健
245,1,/loupan/245.html,https://img.0756fang.com/Upload/Dictionary/2019-02/965b1b5b-2274-4d05-81e1-39cf0814917e.jpg/260X170,1994,金钟花园,香洲区兰埔路2号  ,15263,正方物业管理处,珠海房产开发有限公司,0.5 元/平米*月,住宅,板樟山森林公园，金钟美食一条街,金钟小学和拱北中学,32.33.35.609.K6.K9.10路，11路，22路，14路等公交线经过隧道南巴士站,得一超市，华润万家超市，兰埔美食街，到拱北口岸仅需3分钟车程,板樟山森林公园，圆明新园和梦幻水城
316,1,/loupan/316.html,https://img.0756fang.com/Upload/Dictionary/2018-09/b5419c18-73a4-433d-b8fa-cee7145152f7.jpg/260X170,1999,迎宾广场,拱北迎宾南路1144,22025,,,1.8 元/平米*月,住宅,,,,,
241,1,/loupan/241.html,https://img.0756fang.com/Upload/Dictionary/2018-02/1bef35a3-dba8-4b16-afb1-c43bada633be.jpg/260X170,1998,金泉花园,香洲区九洲大道西10,22000,华维管理公司,珠海益铨房产,1.0 元/平米*月,住宅,北岭巴士站，圆明新园，板障山森林公园,北岭小学，十六中学,1路、13路、14路、25路、30路、40路、60路、62路、69路、201北岭巴士站，兰埔巴士站,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场，沃尔玛,莲花路步行街、圆明新圆、梦幻水城、板嶂山森林公园、文华书城
247,1,/loupan/247.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s6B608E5C50E74641B8F2D88B799E0FDC.jpg/260X170,2007,九洲时代,香洲区九洲大道西10,23884,华维物业管理,珠海经济特区华苑房产开发有限公司,1.3 元/平米*月,住宅,地处繁华，坐拥全城，是九洲大道与迎宾大道交汇处的标志性建筑物，地下一层，商业裙楼二层，其上设四栋十六层居住塔楼，是集居住 办公 商业 多功能为一体的现代化复合型建筑体。,北岭小学，拱北小学，拱北中学,1路、13路、14路、25路、30路、40路、60路、62路、69路、201路等,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场,板障山森林公园，圆明新园，梦幻水城，口岸广场
215,1,/loupan/215.html,https://img.0756fang.com/Upload/Dictionary/2018-09/4d858a9c-8ee6-4fac-aa06-9b2481f35cff.jpg/260X170,1999,桂花村,香洲区九洲大道西10,21965,珠海经济特区广信物业管理有限公司,,1.2 元/平米*月,住宅,板障山森林公园、休憩娱乐公园，板障山隧道，口岸广场,拱北小学，北岭小学，拱北中学,北岭巴士站,万佳百货、迎宾广场、屈臣氏、又一家超市、拱北口岸地下广场,莲花路步行街、圆明新圆、梦幻水城、板嶂山森林公园
243,1,/loupan/243.html,https://img.0756fang.com/Upload/Dictionary/2018-09/86cc2ffe-9ba0-4bad-a6dc-b2fd5f2796c4.jpg/260X170,1998,金钟公寓,香洲区兰埔金钟街5号,13327,明城物业,不详,0.8 元/平米*月,住宅,海祥园蓝球场，圆明新园，板樟山森林公园，梦幻水城，兰埔美食街。,"拱北中学和金钟小学,第十六中",69.13.62路到兰埔东巴士站,兰埔市场，得一超市，华润万家超市,海祥园蓝球场，圆明新园，板樟山森林公园，梦幻水城，兰埔美食街，八分田咖啡。
314,1,/loupan/314.html,https://img.0756fang.com/Upload/Dictionary/2018-06/df43073e-99ac-446b-81d2-25842765675b.jpg/260X170,1992,银海新村,水湾路228号(36,20913,华发物业,华发物业,0.0 元/平米*月,住宅,莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学，拱北中学,4路、207路等，到银海新村站,莲花路步行街，华润万家，迎宾百货，米兰百货,拱北酒吧街，莲花路步行街
6841,1,/loupan/6841.html,https://img.0756fang.com/Upload/Dictionary/2019-09/a8926224-7e0c-4545-935d-07354b94a8e4.jpg/260X170,2019,国维中央广场,一区：香洲区国维二街,31505,国维物业管理有限公司,珠海维星实业有限公司,3.0 元/平米*月,住宅,来魅力酒店，汉庭酒店，7天酒店，圆明新园，梦幻水城，拱北口岸，拱北地下商场。,爱儿国际幼儿园，领秀城大地国际幼儿园，北岭小学，拱北中学。,13，21，30，62，69，991，1，14路桂花北，兰埔，兰埔东，交通设施完善，交通四通八达。,沃尔玛，摩尔广场，富华里，北岭市场，兰埔市场。,麦当劳，星巴克等知名品牌，银石雅园网球场，炮山台溜冰场，沃尔玛，摩尔广场，富华里，麦潮，凯歌，嗨森
206,1,/loupan/206.html,https://img.0756fang.com/Upload/fyEstate/140513145333EEBB7D08CB11E5AF5613.jpg/260X170,1996,富绅花园,香洲区拱北迎宾南路1,21978,富绅物业,富绅物业,1.2 元/平米*月,住宅,珠海市第二人民医院，桂花北邮局，中国银行、建设银行、交通银行，国美电器,拱北小学、拱北中学,4路路 36路路 62路路 82路，到新市花园站,保利来商业城(迎宾南路)、莲花万景城(莲花路)、拱北口岸购物广场、珠海口岸购物广场(北2门),海兴海鲜大排档、红叶西餐厅、红蜻蜓美食、阿川酸辣粉、港兴茶餐厅
278,1,/loupan/278.html,https://img.0756fang.com/Upload/Dictionary/2018-01/93c652e0-0f0c-45d2-b4a2-82239401a5d9.jpg/260X170,2003,鸣翠谷,香洲区兰埔路162-,24492,友谊物业,兰埔股份合作有限公司,1.0 元/平米*月,住宅,非常不错，有圆明新园，梦幻水城,金钟小学，拱北中学，第十六中,62.69.13路到圆明山庄巴士站下,得一超市，华润万家，兰埔市场，八分田咖啡，兰埔美食街,圆明新园和梦幻水城
235,1,/loupan/235.html,https://img.0756fang.com/Upload/Dictionary/2020-07/sFE151CD674534F4597672022D03506D4.jpg/260X170,1998,华发广场(拱北),粤海东路1031号(,21049,华发物业管理公司,华发实业股份有限公司,2.0 元/平米*月,住宅,民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学 拱北中学,1路、2路、4路、8路、9路、10路、30路、31路、32路、33路、34路、608路，到万家百货站，或口岸地下广场站；,来来超市  华润万家、又一家超市,侨光，自然美，莲花路步行街
273,1,/loupan/273.html,https://img.0756fang.com/Upload/fyEstate/1405211432300AE18EA21F74F76809DD.jpg/260X170,2005,米兰丽都,香洲区拱北侨光路16,24498,米兰物业,,3.0 元/平米*月,住宅,邻迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；,拱北小学，拱北中学,1路、2路、4路、8路、9路、10路、30路、31路、32路、33路、34路、608路，到万家百货站，或口岸地下广场站；,华润万家、又一家超市，迎宾百货,侨光，自然美，莲花路步行街，口岸广场
228,1,/loupan/228.html,https://img.0756fang.com/Upload/Dictionary/2019-02/49359996-565b-4c3e-b4a8-792708b35e21.jpg/260X170,1998,海祥园,香洲区金钟街50号 ,21795,葆力物业,福建海祥房产,1.1 元/平米*月,住宅,圆明新园，梦幻水城，板樟山森林公园,"金钟小学和拱北中学,第十六中",69.62.13.991路到兰埔东巴士站下车即可,得一超市，华润万家，兰埔市场，兰埔美食街,圆明新园，梦幻水城，板樟山森林公园，兰埔美食街，蓝球场，羽毛球所
199,1,/loupan/199.html,https://img.0756fang.com/Upload/Dictionary/2019-02/1902220923479DA32DD992A044C88448.jpg/260X170,1999,东城花园,香洲区兰埔路金钟街1,22271,亮华物业,一期东升，二期亮华房产,0.7 元/平米*月,住宅,到圆明新园约5分钟，到板樟山约3分种，到拱北口岸约10分钟车程,"金钟小学和拱北中学,第十六中",62.13.69路到兰埔东下车,兰埔市场，华润万家，得一超市,圆明新园和板樟山
6073,1,/loupan/6073.html,https://img.0756fang.com/Upload/Dictionary/2021-06/s294BEEE4086A49D492906B7C8E481060.jpg/260X170,2016,仁恒滨海中心,香洲区情侣南路1号 ,66000,仁恒物业,仁恒置业,7.0 元/平米*月,住宅,拱北口岸核心资产，零距离珠澳双城生活圈，周边商圈环伺，交通便利，星级酒店林立，国宾级会客厅、商务会馆、等资源随时共享。,夏湾小学、夏湾中学、珠海一中附属实验中学、拱北小学、拱北中学、北岭小学,情侣南路  拱北口岸总站2路4 路 9路  99 路 观光线  拱北口岸,拱北口岸商场，华润万家大型超市，沃尔玛超市，米兰百货,铂金洲仔酒店  来魅力。酒店：益健、新海利、棕泉、来魅力、东方印象、帝澜思、昌安等。
293,1,/loupan/293.html,https://img.0756fang.com/Upload/Dictionary/2020-05/sED740D6089AB4B318BAB711DFAA6648B.jpg/260X170,2000,泰来花园,香洲区拱北侨南街1号,18694,明诚物业,明诚物业,0.8 元/平米*月,住宅,工商银行、中国银行、邮政储蓄、交通银行,北岭小学 拱北中学,桂花中13;21;30,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
310,1,/loupan/310.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s3CC43133348A478980D2F0587C228757.jpeg/260X170,2004,颐清园,香洲区拱北联安路10,21193,格力物业,格力物业,1.3 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
320,1,/loupan/320.html,https://img.0756fang.com/Upload/fyEstate/140513175320ED3768FE1A07542792B5.jpg/260X170,1997,御花园,香洲区拱北迎宾南路2,21930,集美物业,集美物业,2.2 元/平米*月,住宅,建设银行、邮政储蓄、中国银行 第二人民医院,拱北小学     北岭小学  拱北中学,1;2;10;10a;11;32;33;35;62;华侨宾馆,万佳百货、迎宾广场、屈臣氏,银都酒店、三间堂、板障山森林公园
321,1,/loupan/321.html,https://img.0756fang.com/Upload/Dictionary/2018-02/0cc6fc58-2e1c-4b90-97a3-028edb18cd87.jpg/260X170,1999,圆明山庄,圆明新园旁边    ,19626,中骏物业,江苏一建,1.1 元/平米*月,住宅,圆明新园，梦幻水城,拱北中学和金钟小学,69.13.62路到圆明山庄巴士站下车，1.25.40.30.605.206.609.K6，K9，K7，603路到兰埔巴士站下车，步行5分钟即可,得一超市，华润万家便利店，兰埔市场，八分田咖啡,圆明新园，梦幻水城，板樟山森林公园
224,1,/loupan/224.html,https://img.0756fang.com/Upload/Dictionary/2020-07/sD118D8F8F25147ABA23D544BF554782B.jpeg/260X170,2005,海湾半山,香洲区拱北水湾路22,31752,半山管理,珠海远大置业有限公司,2.9 元/平米*月,住宅,毗邻港珠澳大桥落脚点及拱北口岸,拱北小学，拱北中学,4路、到海湾大酒店站； 9路、13路、99路、到日华花园站下,莲花路步行街，酒吧街,莲花路步行街，酒吧街
6271,1,/loupan/6271.html,https://img.0756fang.com/Upload/Dictionary/2018-04/14fd5a9b-3698-4b0c-8a67-7293fd429e88.jpg/260X170,2019,玖洲道,珠海市九洲大道西21,32144,仁河酒店管理有限公司,珠海市兰埔股份合作公司,3.0 元/平米*月,住宅,市中心黄金地段，配套齐全，交通便利，周边市场、学校、医院、银行等一应俱全。,"金钟小学、北岭小学、前山小学、前山中学、拱北中学、第十一中学,第十六中。",小区外面就是九洲大道，是珠海为数不多的主干道之一，多条巴士线路经过。圆明新园：13-1-25-30-40-60-62-69-991-992等。兰埔站：30-60-992-K9等。,小区自带4.4万平方商业综合体、对面有富华里、诚丰广场（天虹商场）、摩尔广场（沃尔玛）,富华里、圆明新园、板障山、梦幻水城、白莲洞公园等。
268,1,/loupan/268.html,https://img.0756fang.com/Upload/Dictionary/2020-11/s74E1570D80F240DB9C0E717CED5A7F18.jpg/260X170,1996,龙城大厦,香洲区拱北迎宾南路2,21875,,,1.2 元/平米*月,住宅,板障山森林公园，口岸广场,北岭小学、拱北小学、拱北中学；,1路、2路、10路A、10路、11路、32路、33路、35路、62路，到北岭站；,沃尔玛，万佳百货，迎宾广场,莲花路步行街、拱北市场、拱北海关、拱北宾馆
302,1,/loupan/302.html,https://img.0756fang.com/Upload/Dictionary/2018-11/4730c214-96ad-4684-b9e6-c609c39ad402.jpg/260X170,1994,新市花园,香洲区粤华路152号,18500,自主物业,自主物业,0.7 元/平米*月,住宅,中国银行，建行，邮政，市场，,拱北小学、拱北中学,1;2;8;9;10;10a;11;30;31;32;33;34;35;62;82;99;207;601;608华润万家,又一家超市、屈臣氏、万佳百货、米兰百货、迎宾广场,新海利海鲜美食广场，谭鱼头珠海拱北店，炮台山公园
234,1,/loupan/234.html,https://img.0756fang.com/Upload/Dictionary/2018-09/d4848f85-981f-4466-8262-e36d9db35f37.jpg/260X170,1995,花苑新村,香洲区拱北粤华路22,24613,中珠物业,中珠,1.2 元/平米*月,住宅,邻迎宾大道、莲花商业街，近拱北口岸广场、拱北第二人民医院、方华医院、仁和骨伤医院、传统医学研究所等；中国银行、工商银行、建设银行、交通银行、光大银行、东亚银行、渣打银行等,拱北小学、拱北中学,1路、2路、4路、8路、9路、10路、30路、31路、32路、33路、34路、608路，到万家百货站，或口岸地下广场站；,华润万家、又一家超市,侨光，自然美，莲花路步行街
218,1,/loupan/218.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s83BC0E3B8E144E869670472C5F3FC0BE.jpg/260X170,1998,桂花中心大厦,拱北桂花北路96号 ,24370,嘉辰物业,嘉辰物业,1.2 元/平米*月,住宅,工商银行、中国银行、邮政储蓄、交通银行,拱北小学  拱北中学,桂花中13;21;30,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
328,1,/loupan/328.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s79E617174B1143C8BDEE42084876FD51.jpg/260X170,1994,珠光花园(拱北),香洲区拱北桂花北路5,18079,珠光物业,珠光物业,0.6 元/平米*月,住宅,炮台山公园、夏湾市场、拱北市场,拱北小学  拱北中学,桂花中 13;21;30,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
200,1,/loupan/200.html,https://img.0756fang.com/Upload/Dictionary/2019-06/2a216292-f520-45ec-a114-a21fc8726daa.jpg/260X170,2005,都市广场,拱北粤海中路1023,21651,鸿源物业,鸿源物业,1.6 元/平米*月,住宅,拱北市场，炮台山公园，市第二人民医院，建设银行、工商银行、中国银行、邮政储蓄,拱北小学、拱北中学,8路、13路、31路、30路、34路、207路，到凉粉桥站,万佳百货、迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
305,1,/loupan/305.html,https://img.0756fang.com/Upload/Dictionary/2018-09/c735f142-5ad6-4c30-9054-bbbd0d43c332.jpg/260X170,2003,星华雅苑,香洲区拱北兰埔路88,22642,名城物业,珠海第二城市开发有限公司,0.6 元/平米*月,住宅,板樟山森林公园,金钟小学，拱北中学,62.13.991.69路到兰埔东下车,得一超市，楼下便利店，兰埔市场,板樟山森林公园，步行5分钟到梦幻水城和圆明新园
269,1,/loupan/269.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s5B6AE802332E470F8D788384093EDFB8.jpg/260X170,1994,龙泉阁,香洲区迎宾南路217,19116,远东物业,远东物业,0.6 元/平米*月,住宅,"中国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,华侨宾馆（1;2;10;10a;11;32;33;35;62;,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
237,1,/loupan/237.html,https://img.0756fang.com/Upload/Dictionary/2020-07/s49C4098F4E9F4AA8AE86E0867FBF5D24.jpg/260X170,1995,将军花园,香洲区石花西路将军巷,17550,山田物业,山田物业,0.6 元/平米*月,住宅,白莲洞公园、板障山森林公园,幼儿园：春田花花幼稚园； 中小学：北岭小学、拱北小学、拱北中学；,1、2、10、11、13、21、32、33、35、62路北岭巴士站,华润万家、沃尔玛,综合商场：迎宾广场、华润万家； 医院：石花门诊部； 邮局：粤海东邮局； 银行：建设银行；
220,1,/loupan/220.html,https://img.0756fang.com/Upload/Dictionary/2018-07/ebb78339-829f-4942-94cc-471179496d90.jpg/260X170,1990,海安园,香洲区拱北侨光路11,32059,葆利物业,海关,0.7 元/平米*月,住宅,拱北市场、莲花路步行街、紧邻澳门,,1路、2路、8路、9路、10A路、10路、11路、30路、31路、32路、33路、34路、35路、62路、82路、99路、207路、601路、608路，到华润万家站；,万家，米兰百货。迎宾百货。国美，泰锋,拱北市场、莲花路步行街、文华书店等
219,1,/loupan/219.html,https://img.0756fang.com/Upload/fyEstate/1405150935380273E477ECF7E0A83394.jpg/260X170,1999,海定园(海关宿舍),香洲区拱北莲花路17,32627,保利物业,海关,1.2 元/平米*月,住宅,临近拱北口岸繁荣商圈，与万家百货数步之距，海关宿舍楼，拱北市场、莲花路步行街、文华书店等,拱北小学，拱北中学,1路、2路、8路、9路、10A路、10路、11路、30路、31路、32路、33路、34路、35路、62路、82路、99路、207路、601路、608路，到华润万家站；,华润万家、屈臣氏、拱北地下商场等；,莲花路步行街、文华书店等
272,1,/loupan/272.html,https://img.0756fang.com/Upload/Dictionary/2019-02/557455fa-7bc7-4324-a4bf-6a3108e1b402.jpg/260X170,1997,美景山庄,香洲区拱北水湾路22,19242,,,0.0 元/平米*月,住宅,,,,,
238,1,/loupan/238.html,https://img.0756fang.com/Upload/Dictionary/2020-07/sAD2369A8EFAA4045A502A82D22FD8E25.jpg/260X170,1994,将军山小区,拱北联安路190号 ,20000,自家物业,自家物业,0.6 元/平米*月,住宅,"国银行、建设银行、交通银行、珠海商业银行,　医院：,　珠海第二人民医院",拱北小学、拱北中学,北岭（1;2;10;10a;11;32;33;35;62,万家百货、米兰百货  迎宾广场、又一家超市、屈臣氏,莲花万景城(莲花路)、银都食街、珠海口岸购物广场
192,1,/loupan/192.html,https://img.0756fang.com/Upload/fyEstate/0903021510260D5B27BF517409BCFCB4.jpg/260X170,1993,花园大厦(北岭),拱北迎宾南路2079,13787,自家物业,自家物业,0.8 元/平米*月,住宅,板障山森林公园、文华书店、拱北市场,拱北小学、拱北中学；,1路、2路、观光02线、10路、10路A、11路、32路、33路、35路、62路，到北岭；,华润万家便利超市,新海利海鲜美食广场  香江酒店  谭鱼头珠海拱北店
205,1,/loupan/205.html,https://img.0756fang.com/Upload/Dictionary/2018-09/3ad030f0-bf80-4f5a-a5d5-6b9edf6915e3.jpg/260X170,1994,富丽花园,香洲区拱北兰埔路56,16482,,,0.7 元/平米*月,住宅,板樟山森林公园，5分钟到圆明新园和梦幻水城，10分钟到前山人民医院。,拱北中学和金钟小学,32.33.10.22.K6.K9.11.35.14.等在隧道南下车,得一超市，华润万家超市。兰埔市场,八分田咖啡，兰埔美食街，各地方特色菜均有。圆明新园和梦幻水城，板樟山公园
